date,ticker,prior_source_date,prior_price,current_price,raw_price_ratio,raw_log_return,matched_split_factor,relative_error,rule_status,verification_status,event_type,source_url,rationale,adjusted_log_return
2011-02-16,BALL,2011-02-15,73.73,36.83,0.4995252949952529,-0.6940970415445854,0.5,0.0009494100094942226,ADJUSTED_MECHANICAL_SPLIT_CANDIDATE,MECHANICAL_RULE_ONLY,,,,-0.000949860984640093
2011-05-09,C,2011-05-06,4.52,44.16,9.76991150442478,2.2793074081247,10.0,0.023008849557522026,ADJUSTED_MECHANICAL_SPLIT_CANDIDATE,MECHANICAL_RULE_ONLY,,,,-0.023277684869345533
2011-05-12,ACGL,2011-05-11,101.37,34.84,0.343691427444017,-1.0680110374100062,0.3333333333333333,0.031074282332051006,ADJUSTED_MECHANICAL_SPLIT_CANDIDATE,MECHANICAL_RULE_ONLY,,,,0.030601251258103677
2011-06-02,CHD,2011-06-01,82.0,40.75,0.4969512195121951,-0.6992634075773814,0.5,0.0060975609756097615,ADJUSTED_MECHANICAL_SPLIT_CANDIDATE,MECHANICAL_RULE_ONLY,,,,-0.006116227017436094
2011-06-16,CSX,2011-06-15,72.98,24.3,0.33296793642093725,-1.0997090806617988,0.3333333333333333,0.0010961907371881963,ADJUSTED_MECHANICAL_SPLIT_CANDIDATE,MECHANICAL_RULE_ONLY,,,,-0.0010967919936891001
2012-01-26,CTRA,2012-01-25,66.62,32.44,0.48694085860102065,-0.7196126035183216,0.5,0.026118282797958692,ADJUSTED_MECHANICAL_SPLIT_CANDIDATE,MECHANICAL_RULE_ONLY,,,,-0.026465422958376235
2012-03-19,ALK,2012-03-16,69.79,35.16,0.5037971056025218,-0.6855816602120842,0.5,0.007594211205043555,ADJUSTED_MECHANICAL_SPLIT_CANDIDATE,MECHANICAL_RULE_ONLY,,,,0.007565520347861144
2012-03-29,CPRT,2012-03-28,52.84,26.24,0.4965934897804693,-0.6999835155782363,0.5,0.006813020439061401,ADJUSTED_MECHANICAL_SPLIT_CANDIDATE,MECHANICAL_RULE_ONLY,,,,-0.0068363350182910525
2012-06-27,DLTR,2012-06-26,110.98,53.48,0.4818886285817264,-0.7300422526640129,0.5,0.03622274283654725,ADJUSTED_MECHANICAL_SPLIT_CANDIDATE,MECHANICAL_RULE_ONLY,,,,-0.036895072104067575
2012-07-23,CME,2012-07-20,257.0,51.12,0.19891050583657588,-1.6149002748259405,0.2,0.005447470817120659,ADJUSTED_MECHANICAL_SPLIT_CANDIDATE,MECHANICAL_RULE_ONLY,,,,-0.00546236239184004
2012-12-20,CCU,2012-12-19,78.62,31.99,0.4068939201221063,-0.8992027660322878,0.4,0.01723480030526567,ADJUSTED_VERIFIED_FACTOR,PRIMARY_SOURCE_VERIFIED,ADS ratio change,https://ccuinvestor.com/wp-content/uploads/CCU-FINANCIAL-STATEMENTS_20F_2012.pdf,ADS ratio changed from one ADS per five common shares to one ADS per two common shares effective 2012-12-20.,0.01708796584186719
2013-01-02,ABT,2012-12-31,65.5,32.05,0.4893129770992366,-0.7147529592745273,0.5,0.021374045801526798,EXCLUDED_VERIFIED_DISTRIBUTION_DATE,PRIMARY_SOURCE_VERIFIED,AbbVie spin-off,https://www.sec.gov/Archives/edgar/data/1800/000110465913029607/a13-10115_18k.htm,Price-only ABT data omit the value of distributed ABBV shares; the full synchronous date is excluded.,-0.7147529592745273
2013-04-18,CRM,2013-04-17,167.35,41.03,0.24517478338810877,-1.4057839212032408,0.25,0.0193008664475649,ADJUSTED_MECHANICAL_SPLIT_CANDIDATE,MECHANICAL_RULE_ONLY,,,,-0.019489560083350198
2013-05-16,AOS,2013-05-15,79.9,39.62,0.4958698372966207,-0.7014418115018243,0.5,0.008260325406758584,ADJUSTED_MECHANICAL_SPLIT_CANDIDATE,MECHANICAL_RULE_ONLY,,,,-0.00829463094187894
2013-05-16,CL,2013-05-15,124.55,62.38,0.5008430349257327,-0.6914625305285321,0.5,0.001686069851465355,ADJUSTED_MECHANICAL_SPLIT_CANDIDATE,MECHANICAL_RULE_ONLY,,,,0.001684650031413163
