rho,channel,draw,rank,weight_error,first_order,bound,frontier_change,bound_covers
0.2,response,0,4,0.024443781160264428,0.025817111715458384,0.1041706693610032,-0.011043886689076214,True
0.2,response,1,3,0.01497065699265127,0.016053792653216437,0.09814350152187434,-0.0019275651248863725,True
0.2,response,2,6,0.01679732750824434,0.017961337923888675,0.09131986874068407,-0.0030428955340667902,True
0.2,response,3,2,0.016134669105783518,0.017114073577968375,0.0948512857707656,-0.004085932041726878,True
0.2,response,4,1,0.011707857312547946,0.012237478729305128,0.06295965651925732,-0.0034025053452409085,True
0.2,response,5,1,0.01934709339079229,0.02082378982631802,0.09829825578003396,-0.004190299318320306,True
0.2,response,6,4,0.018686245540843013,0.019769313554692112,0.08057499339909972,-0.006044977606510635,True
0.2,response,7,6,0.017604592198573382,0.018515772208316003,0.11396600642101794,-0.006424365846042926,True
0.2,response,8,3,0.02269454048088152,0.0241857548885346,0.09260015292974086,-0.007243058401719601,True
0.2,response,9,4,0.02045927692946284,0.02159798798111046,0.08392670892660423,-0.006647948361010844,True
0.2,response,10,3,0.008400034445770123,0.008838076222129475,0.0783676024938319,-0.002010634540083488,True
0.2,response,11,5,0.012862871756359754,0.01343701161287077,0.08654243321506584,-0.0033331685801729887,True
0.2,response,12,6,0.011758370925780446,0.012399186609132615,0.10315870808845728,-0.002215144558113858,True
0.2,response,13,3,0.008376718581035208,0.00903528575029606,0.10444156702614306,-0.0007439854173374042,True
0.2,response,14,6,0.036520051033717534,0.03955589699450455,0.1263227897588761,-0.013697239977392583,True
0.2,response,15,4,0.01861878017161064,0.019542883536008575,0.09474476166303562,-0.005704175711586205,True
0.2,response,16,1,0.0006301012458490835,0.0006681691594672247,0.0774303102030457,-6.7916254343036055e-06,True
0.2,response,17,5,0.022275845034581573,0.02387547693818481,0.10036705052244628,-0.006675174258418484,True
0.2,response,18,2,0.0028426508930485222,0.00304877348844189,0.09480336733738032,-9.819801379683696e-05,True
0.2,response,19,6,0.02954170495427314,0.03162889744318382,0.08944105375739911,-0.01241379958669161,True
0.2,response,20,1,0.007558665848309789,0.008040686554769921,0.08048902132401567,-0.0009124861567889128,True
0.2,response,21,4,0.013630583752010981,0.01448309238162199,0.1048584277841877,-0.0028594258589157086,True
0.2,response,22,3,0.010598891693848691,0.011162043282577918,0.101475530258899,-0.0021561884511953175,True
0.2,response,23,2,0.014700314138629184,0.015557602200545603,0.07359291396739247,-0.004073134945495709,True
0.2,response,24,2,0.014158614041140034,0.015146078945247648,0.09118326881177478,-0.0027318778321139456,True
0.2,response,25,1,0.004711552184812877,0.005060326585346522,0.08761838971619001,-0.0003060734676211894,True
0.2,response,26,5,0.009735047149502619,0.01011889075888411,0.09024852482961361,-0.0032200392270938837,True
0.2,response,27,2,0.006290298525069915,0.0066986346858901825,0.08539211676579031,-0.000549110832865993,True
0.2,response,28,5,0.024234496405522967,0.025812023904152232,0.0956911251153808,-0.009473996382201666,True
0.2,response,29,3,0.019225330521749837,0.020351977355813282,0.08669002598129806,-0.0066684040686907295,True
0.2,response,30,4,0.012386331622685902,0.013009972268164732,0.08563212922603108,-0.003604581202637904,True
0.2,response,31,3,0.008474469036355771,0.009147812686217104,0.13168813097493742,-0.000761550374998677,True
